0x00000000: 0000000C
0x00000002: 380630AB
0x00000004: 1E654749
0x00000006: 0B2B1936
0x00000008: 3A842DF4
0x0000000A: 3BE50C2F
0x0000000C: 3A830061
0x0000000E: 6E8DFE49
0x00000010: 2C31A353
0x00000012: 6ED9B4CF
0x00000014: 16EDBAE4
0x00000016: 5188DA7E
0x00000018: 6FC0B003
0x0000001A: 5363CE46
0x0000001C: 3D7B806F
0x0000001E: 772D16F1
0x00000020: 313D6557
0x00000022: 35C84C02
0x00000024: 70F632E3
0x00000026: 33870F05
0x00000028: 67EB2BB0
0x0000002A: 0081651D
0x0000002C: 2F15532D
0x0000002E: 2107C781
0x00000030: 05BAF718
0x00000032: 35B44B98
0x00000034: 4FCF03B3
0x00000036: 1FFC05B4
0x00000038: 5ADA7CD3
0x0000003A: 3E392F3E
0x0000003C: 1C4CAF5C
0x0000003E: 6E8CCF87
0x00000040: 5E8CE0C4
0x00000042: 72F8945A
0x00000044: 1DD3DBAE
0x00000046: 3FFB8BCE
0x00000048: 1B97A233
0x0000004A: 0019D06C
0x0000004C: 1EC26281
0x0000004E: 6BD112ED
0x00000050: 6B31BCE7
0x00000052: 0E6918AC
0x00000054: 15D2CB98
0x00000056: 42347359
0x00000058: 0180FA04
0x0000005A: 3A9E1D61
0x0000005C: 629AE957
0x0000005E: 284D8154
0x00000060: 7865C677
0x00000062: 61C8EC61
0x00000064: 4E17066E
0x00000066: 49A747CF
0x00000068: 055B8CD0
0x0000006A: 3D79AE6F
0x0000006C: 7FAB18F0
0x0000006E: 39F2760B
0x00000070: 5D23E9E5
0x00000072: 60D0E928
0x00000074: 337B72C0
0x00000076: 6DAAB5A7
0x00000078: 627C1F30
0x0000007A: 42E3BAD3
0x0000007C: 74FE94F3
0x0000007E: 75E51986
0x00000080: 13EEE8E2
0x00000082: 29FB57A7
0x00000084: 3437AA79
0x00000086: 329908B7
0x00000088: 5D0B4054
0x0000008A: 0DAC7A85
0x0000008C: 369FB8C6
0x0000008E: 301BEB2E
0x00000090: 78ED31AE
0x00000092: 1C58D488
0x00000094: 0BE93B42
0x00000096: 7D317029
0x00000098: 38BAD3F5
0x0000009A: 71B196EB
0x0000009C: 422B589D
0x0000009E: 2BC6CD5B
0x000000A0: 08D427D1
0x000000A2: 20820EDE
0x000000A4: 3A9E217E
0x000000A6: 63A8F542
0x000000A8: 697DF32B
0x000000AA: 4BE7C228
0x000000AC: 5C7BF706
0x000000AE: 4E96DA59
0x000000B0: 11D9315E
0x000000B2: 4A381B79
0x000000B4: 2993CB00
0x000000B6: 25F48253
0x000000B8: 57982A9C
0x000000BA: 471594B1
0x000000BC: 59D514EC
0x000000BE: 3450C007
0x000000C0: 216F2666
0x000000C2: 084203B0
0x000000C4: 26001C0C
0x000000C6: 51316B51
